OBJECTID,DESCRIPTION,ID,ECYHRIAVG,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor,P5YHRIAGG,ECYPTAPOP,ECYCDOOWCO,ECYCDOOWCO_P,HSTE001,HSTE001_A,P5YHRIMED,ECYHNIMED,P5YHRIAVG,ECYCDOCO,ECYCDOCO_P,ECYHRIAGG,ECYMTN2534,ECYMTN2534_P,P5YTENRENT,P5YTENRENT_P,ECYMTN1524,ECYMTN1524_P,ECYHNIAVG,NAME,CREATED,MODIFIED,CREATOR,EDITOR,REGION,FLAGS,GEOID,GEONAME,GEOLEVEL,HIERARCHY,SYMBOL,SITE_METADATA,P0YTENRENT,P0YTENRENT_P,ECYHRIMED,P5YHNIMED,P0YTENHHD,P5YTENOWN,P5YTENOWN_P,P0YTENOWN,P0YTENOWN_P,ECYTENOWN,ECYTENOWN_P,P5YHNIAVG,ECYCDORECO,ECYCDORECO_P,ECYHNIAGG,P5YHNIAGG,ECYTENHHD,P5YTENHHD,ECYTENRENT,ECYTENRENT_P,OWNERSHIP_PCT_2023,OWNERSHIP_PCT_2028,OWNERSHIP_PCT_2033,OWNERSHIP_DELTA_23_28,OWNERSHIP_DELTA_28_33,OWNERSHIP_DELTA_23_33,RENTAL_PCT_2023,RENTAL_PCT_2028,RENTAL_PCT_2033,RENTAL_DELTA_23_28,RENTAL_DELTA_28_33,RENTAL_DELTA_23_33,TOTAL_HH_DELTA_23_28,TOTAL_HH_DELTA_28_33,TOTAL_HH_DELTA_23_33,INCOME_AVG_CONS_DELTA_23_28,INCOME_MED_CONS_DELTA_23_28,INCOME_AGG_CONS_DELTA_23_28,INCOME_AVG_CURR_DELTA_23_28,INCOME_MED_CURR_DELTA_23_28,INCOME_AGG_CURR_DELTA_23_28,HOT_GROWTH_INDEX,YOUNG_MAINTAINERS_PCT,RENTAL_MARKET_PCT,NEW_HOMEOWNER_INDEX,HOUSING_AFFORDABILITY_INDEX,RELATIVE_INCOME_AVG,RELATIVE_INCOME_MED
11,"G0P (Ham-Nord, QC)",G0P,74746.38,74746.38,1964344449.0,415202.1877963802,1753801739027,Synapse54,1753801739027,Synapse54,244954887.27,6917,9,0.3,255617928.57,83809.16,63476.28,70147.09,79711.81,24,0.79,227977660.95,295,9.67,604,19.66,25,0.82,86080.68,,,,,,,,,,,,,,691,22.33,61086.55,81837.02,3094,2469,80.34,2403,77.67,2531,82.98,102036.29,15,0.49,262547441.08,313558154.57,3050,3073,519,17.02,82.98360655737706,80.34493979824276,77.66645119586296,-2.6386667591342956,-2.678488602379801,-5.3171553615140965,17.016393442622952,19.65506020175724,22.333548804137042,2.6386667591342885,2.678488602379801,5.317155361514089,0.7540983606557378,0.683371298405467,1.4426229508196722,6.643037428702223,3.9120395569892157,7.4468815274508255,18.535645861533624,16.66488232084896,19.429141369714078,36.63292959854574,10.491803278688524,17.016393442622952,11.246579970650018,41.90038523775851,41.35810550230538,42.7138048409382
12,"G0R (La Pocatiere, QC)",G0R,78428.08,78428.08,17275130739.5,769075.2097201231,1753801739027,Synapse54,1753801739027,Synapse54,3271592498.87,86116,651,1.67,3337813274.84,85644.25,67758.97,74242.96,83883.03,1693,4.34,3056568175.55,4077,10.46,9159,23.48,849,2.18,90320.66,,,,,,,,,,,,,,9497,24.56,64052.69,86271.35,38674,29843,76.52,29177,75.44,30251,77.62,107375.72,1042,2.67,3520056086.04,4187850742.25,38973,39002,8722,22.38,77.62040386934544,76.5165888928773,75.44345038010033,-1.1038149764681435,-1.0731385127769641,-2.1769534892451077,22.379596130654555,23.483411107122713,24.556549619899673,1.1038149764681577,1.0731385127769606,2.1769534892451183,0.07441048931311421,-0.8409825137172453,-0.7671978036076258,6.955353235728833,5.786298748733267,7.034828309736888,18.882789386171446,16.201387983453245,18.971136819619744,44.32213216790943,12.63951966746209,22.379596130654555,13.359208993751013,43.952274200918126,43.39523609013903,44.78783136708677
13,"G0S (Saint-Apollinaire, QC)",G0S,85909.28,85909.28,7546000235.5,718279.0049398947,1753801739027,Synapse54,1753801739027,Synapse54,3098169458.96,76554,722,2.27,3025804618.67,95007.68,77356.49,83353.72,92792.94,1486,4.67,2736026810.03,4734,14.86,7414,22.21,783,2.46,98936.28,,,,,,,,,,,,,,8087,23.22,72232.59,99231.15,34823,25974,77.79,26737,76.78,25126,78.89,118780.98,764,2.4,3150908885.84,3965857995.13,31848,33388,6722,21.11,78.89349409696055,77.79441715586438,76.7797145564713,-1.0990769410961718,-1.0147025993930754,-2.113779540489247,21.106505903039437,22.20558284413562,23.223157108807396,1.0990769410961825,1.0175742646717758,2.1166512057679583,4.835468475257473,4.297951359769978,9.341245918111026,8.012708289488636,7.093612453879902,13.236078228561984,20.058061612989693,19.048256034643675,25.863937638829654,48.02519609909439,17.32290881688018,21.106505903039437,15.093466593600107,48.723805361781714,47.53467747691718,50.50749718907852
14,"G0T (Forestville, QC)",G0T,75441.79,75441.79,20313438075.0,1270528.890385615,1753801739027,Synapse54,1753801739027,Synapse54,502723250.29,13460,100,1.54,521178671.04,80255.42,61618.22,69506.77,79097.53,300,4.62,489911810.2,617,9.5,1662,26.15,115,1.77,86881.53,,,,,,,,,,,,,,1691,28.02,59583.94,79153.44,6034,4644,73.06,4286,71.03,4884,75.21,101249.97,200,3.08,564200420.25,643518389.73,6494,6356,1570,24.18,75.20788420080073,73.06482064191316,71.03082532316871,-2.143063558887576,-2.033995318744445,-4.177058877632021,24.176162611641516,26.14852108244179,28.024527676499833,1.9723584708002733,1.876006594058044,3.848365064858317,-2.125038497074222,-5.066079295154185,-7.083461656914075,4.8457757961469445,3.414141461608613,2.6150502648160154,16.537968426661,13.878748789506401,14.05847401617564,37.501302739386304,11.271943332306744,24.176162611641516,12.178787164490158,41.71098214048635,41.74288453972977,41.66312854162121
15,"G0V (Saint-Honore-De-Chicoutimi, QC)",G0V,90934.86,90934.86,24624561090.5,1237538.7672922572,1753801739027,Synapse54,1753801739027,Synapse54,844462007.99,19237,137,1.61,857866504.53,100641.31,80435.35,87754.06,96911.48,284,3.33,775123187.69,968,11.36,1542,17.7,160,1.88,104723.92,,,,,,,,,,,,,,1601,18.54,76599.97,102755.36,8635,7172,82.3,7035,81.47,7100,83.29,124052.99,147,1.72,892660309.72,1080966180.3,8524,8714,1424,16.71,83.29422806194276,82.30433784714253,81.47075854082223,-0.9898902148002264,-0.8335793063203027,-1.8234695211205292,16.70577193805725,17.695662152857473,18.540822235089752,0.9898902148002229,0.8451600822322796,1.8350502970325024,2.229000469263257,-0.9065871012164334,1.302205537306429,6.572418982115325,5.007025459670551,8.945522647392542,18.457168142674576,17.094707640877246,21.09490794309715,46.7874485412061,13.23322383857344,16.70577193805725,12.145234375958315,51.613763648370416,50.31539365140317,53.56131864382129
16,"G0W (Saint-Bruno-Lac-Saint-Jean, QC)",G0W,83486.69,83486.69,380327320475.0,4323366.579971259,1753801739027,Synapse54,1753801739027,Synapse54,1396532111.57,35826,213,1.36,1404675128.77,90008.66,73804.43,80489.42,89180.97,580,3.72,1302907647.82,1799,11.53,3314,21.16,436,2.79,96146.34,,,,,,,,,,,,,,3472,22.4,69801.91,94514.69,15500,11482,73.32,11145,71.9,11680,74.84,114157.43,366,2.35,1500476263.54,1787651745.13,15606,15660,3111,19.93,74.84300909906446,73.3205619412516,71.90322580645162,-1.5224471578128629,-1.4173361347999816,-2.9397832926128444,19.934640522875817,21.162196679438058,22.400000000000002,1.2275561565622404,1.2378033205619445,2.465359477124185,0.34602076124567477,-1.0217113665389528,-0.6792259387415097,6.820584215280302,5.734112433313056,7.1858096701366865,18.732995972597603,17.424985793163877,19.13895531492655,42.698058289380455,14.321414840445982,19.934640522875817,13.317535660651618,47.239689948453844,46.19422817611051,48.80788260696885
17,"G0X (Notre-Dame-Du-Mont-Carmel, QC)",G0X,77630.04,77630.04,39978887685.5,2171889.905015521,1753801739027,Synapse54,1753801739027,Synapse54,2348159471.44,60103,323,1.16,2371188105.0,85245.47,66330.2,72496.88,83181.6,765,2.75,2159361091.35,2835,10.19,5733,20.31,493,1.77,89401.6,,,,,,,,,,,,,,6075,21.33,62729.33,84741.75,28475,22497,79.69,22399,78.66,22471,80.78,106477.84,442,1.59,2486799480.56,3005796531.45,27816,28229,5345,19.22,80.78444060972102,79.69464026355875,78.66198419666374,-1.0898003461622636,-1.032656066895015,-2.1224564130572787,19.215559390278976,20.308902192780472,21.334503950834065,1.0933428025014962,1.0256017580535932,2.1189445605550894,1.4847569744032212,0.8714442594495022,2.3691400632729365,7.151303799405505,5.74032912514767,8.743251920500533,19.1005977521655,16.89020272320684,20.870080396394783,45.503747629730604,11.96433707218867,19.215559390278976,12.58881279119047,43.317199474385035,42.95367059204989,43.862492797887754
18,"G0Y (Lac-Drolet, QC)",G0Y,72920.29,72920.29,3810924397.5,557635.8571484805,1753801739027,Synapse54,1753801739027,Synapse54,369759883.43,9793,44,0.92,372461855.24,77969.83,62462.28,69466.42,77040.66,100,2.09,348339214.28,362,7.58,778,16.21,57,1.19,83977.68,,,,,,,,,,,,,,831,17.45,60413.5,79894.99,4761,4021,83.77,3930,82.55,4063,85.05,98617.04,56,1.17,401160223.13,473316650.17,4777,4800,714,14.95,85.05338078291815,83.77083333333334,82.54568367989918,-1.2825474495848113,-1.2251496534341584,-2.5076971030189696,14.94661921708185,16.208333333333332,17.45431632010082,1.2617141162514827,1.245982986767487,2.5076971030189696,0.48147372828134816,-0.8125,-0.33493824576093784,5.650512360825787,3.3912618868299287,6.149370576687872,17.432441572570237,15.012390159158926,17.986934616051652,43.75815177819205,8.77119531086456,14.94661921708185,9.874340427750921,41.10589836582846,40.34770710071449,42.24318526349941
19,"G0Z (Daveluyville, QC)",G0Z,75729.18,75729.18,1313913827.0,254093.22841298912,1753801739027,Synapse54,1753801739027,Synapse54,336481973.12,9483,34,0.84,342617981.03,84785.44,64124.25,69596.96,80886.46,81,2.0,306017883.08,543,13.44,882,21.2,129,3.19,87212.5,,,,,,,,,,,,,,972,22.97,60578.95,81603.07,4232,3278,78.8,3260,77.03,3259,80.65,103539.91,47,1.16,352421424.91,430718765.02,4041,4160,782,19.35,80.64835436773076,78.79807692307692,77.03213610586012,-1.850277444653841,-1.7659408172168014,-3.6162182618706424,19.35164563226924,21.201923076923077,22.967863894139885,1.8502774446538375,1.7659408172168085,3.616218261870646,2.9448156396931453,1.7307692307692308,4.726552833457065,6.810162212241059,5.852362908237932,9.955003195691024,18.721410348287236,17.250911534067004,22.216963718932586,42.66332840021128,16.629547141796586,19.35164563226924,13.907291699919812,42.08469003409953,41.90190101571572,42.358873561675246
20,"G1A (Quebec, QC)",G1A,0.0,0.0,82312.0,1266.954133788689,1753801739027,Synapse54,1753801739027,Synapse54,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
21,"G1B (Quebec, QC)",G1B,109741.8,109741.8,87273797.0,41431.67400838665,1753801739027,Synapse54,1753801739027,Synapse54,867202248.03,17870,255,3.58,853782385.4,119745.08,106400.39,114010.18,118557.96,321,4.5,782440426.3,913,12.81,1072,14.65,68,0.95,126382.68,,,,,,,,,,,,,,1145,15.26,98354.67,136142.68,7502,6243,85.35,6357,84.74,6144,86.17,151761.89,65,0.91,901087110.23,1110075163.5,7130,7315,985,13.81,86.1711079943899,85.34518113465482,84.73740335910423,-0.8259268597350768,-0.6077777755505878,-1.4337046352856646,13.814866760168304,14.654818865345181,15.262596640895762,0.8399521051768772,0.6077777755505807,1.447729880727458,2.5946704067321176,2.556390977443609,5.217391304347826,8.033547836831548,8.180313146289853,10.833006434856806,20.081240562393535,19.412740160571627,23.1928801219514,48.035666025727565,13.758765778401122,13.814866760168304,12.736545709222815,63.94208459758432,60.72150841837285,68.77294886640152
22,"G1C (Quebec, QC)",G1C,94485.02,94485.02,42832173.5,38990.399766328665,1753801739027,Synapse54,1753801739027,Synapse54,1716455907.55,36366,1836,11.01,1697125017.82,101752.2,84960.35,91413.07,101199.94,2788,16.72,1575895110.75,1761,10.56,5883,34.69,250,1.5,108812.42,,,,,,,,,,,,,,6240,36.22,79840.89,108331.84,17226,11078,65.31,10986,63.78,11176,67.01,129542.49,953,5.71,1814858644.36,2197174968.77,16679,16961,5503,32.99,67.006415252713,65.31454513295206,63.77568791361895,-1.6918701197609352,-1.53885721933311,-3.230727339094045,32.99358474728701,34.68545486704793,36.22431208638105,1.691870119760921,1.5388572193331171,3.230727339094038,1.690748845854068,1.562407876894051,3.2795731158942383,7.106862018974011,6.4120778212768,8.919425908562168,19.05119838341984,18.508042668296763,21.065900950364203,42.6917693065013,12.057077762455783,32.99358474728701,15.456704112693433,53.69883720595887,52.279741514538,55.82748074309016
23,"G1E (Quebec, QC)",G1E,74750.89,74750.89,21963715.5,24460.60804483201,1753801739027,Synapse54,1753801739027,Synapse54,1199359190.01,28506,1145,7.86,1171439045.62,80428.36,67264.85,72055.21,80676.8,2449,16.81,1088729193.58,2257,15.5,9068,61.0,601,4.13,86085.86,,,,,,,,,,,,,,9384,62.12,61858.72,85628.95,15107,5798,39.0,5722,37.88,5870,40.3,103271.54,1304,8.95,1253820495.35,1535257607.96,14565,14866,8695,59.7,40.30209406110539,39.00174895735235,37.87648110147614,-1.3003451037530454,-1.12526785587621,-2.4256129596292553,59.697905938894614,60.99825104264765,62.11689945058582,1.3003451037530382,1.118648407938167,2.4189935116912054,2.066598008925506,1.6211489304453115,3.721249570889118,7.927544407832474,8.739479252076352,10.16138788987759,19.963417917878722,18.837971605384247,22.44636402529358,45.07329120774432,19.622382423618262,59.697905938894614,23.71723937192416,42.11785356983739,41.36060094162719,43.25373251215269
24,"G1G (Quebec, QC)",G1G,93909.25,93909.25,23261499.5,21244.010790424363,1753801739027,Synapse54,1753801739027,Synapse54,1208050828.47,25383,1178,10.05,1180306532.82,100665.8,82689.54,88994.28,101519.63,1693,14.44,1101060138.22,1283,10.94,4034,33.9,253,2.16,108149.33,,,,,,,,,,,,,,4236,35.07,77509.7,105792.18,12079,7866,66.1,7843,64.93,7909,67.45,129951.72,515,4.39,1268021263.69,1546383469.34,11725,11900,3815,32.54,67.45415778251599,66.10084033613445,64.93087176090737,-1.3533174463815385,-1.169968575227088,-2.5232860216086266,32.537313432835816,33.89915966386555,35.06912823909264,1.3618462310297303,1.1699685752270952,2.5318148062568255,1.4925373134328357,1.504201680672269,3.0191897654584223,8.103972718342447,6.682828084742938,9.717061451608238,20.15952387314836,18.875258050292665,21.952487203562583,44.374787545394305,13.100213219616204,32.537313432835816,16.08467398980421,52.85566965848554,51.96116078320275,54.19743297140971
25,"G1H (Quebec, QC)",G1H,75458.66,75458.66,17070653.5,16728.070206687444,1753801739027,Synapse54,1753801739027,Synapse54,1278934459.71,30106,1048,6.81,1245295545.62,80921.15,68888.08,72817.9,81689.95,2266,14.72,1161234003.31,2239,14.55,9774,62.43,610,3.96,86900.96,,,,,,,,,,,,,,10098,63.67,62958.48,87622.97,15860,5882,37.57,5762,36.33,5996,38.96,104568.43,1218,7.91,1337319695.14,1637119117.99,15389,15656,9393,61.04,38.96289557476119,37.57026060296372,36.330390920554855,-1.3926349717974702,-1.239869682408866,-2.632504654206336,61.03710442523881,62.42973939703628,63.669609079445145,1.3926349717974702,1.239869682408866,2.632504654206336,1.7350055234258237,1.3030148185998978,3.0606277210994866,8.257885841068465,9.418270580865356,10.135808636717908,20.33058092798973,20.331635490724132,22.417932222153862,44.29545111940986,18.513223731236597,61.03710442523881,23.875292898960694,42.660420278651955,41.752218921405834,44.02272231452113
