OBJECTID,ID,2021 Period of Construction - 1961 to 1980 (Census),2021 Period of Construction - 1961 to 1980 (Census) (%),2021 Period of Construction - 1981 to 1990 (Census),2021 Period of Construction - 1981 to 1990 (Census) (%),2021 Period of Construction - 1991 to 2000 (Census),2021 Period of Construction - 1991 to 2000 (Census) (%),2021 Period of Construction - 2001 to 2005 (Census),2021 Period of Construction - 2001 to 2005 (Census) (%),2021 Period of Construction - 2006 to 2010 (Census),2021 Period of Construction - 2006 to 2010 (Census) (%),2021 Period of Construction - 2011 to 2016 (Census),2021 Period of Construction - 2011 to 2016 (Census) (%),2021 Period of Construction - 2016 to 2021 (Census),2021 Period of Construction - 2016 to 2021 (Census) (%),2021 Period of Construction - 1960 or Before (Census),2021 Period of Construction - 1960 or Before (Census) (%),2021 Housing: Apartment or Flat in Duplex (Census),2021 Housing: Apartment or Flat in Duplex (Census) (%),2021-2022 Total Population % Change,2022-2023 Current$ Household Average Income % Change,2022-2023 Total Population % Change,2023-2024 Current$ Household Average Income % Change,2023-2024 Total Population % Change,2024 Condominium Charges (Shelter),2024 Condominium Charges (Shelter) (Avg),2024 Condominium Status - In Condo,2024 Condominium Status - In Condo (%),2024 Condominium Status - Not In Condo,2024 Condominium Status - Not In Condo (%),2024 Condominium Status - Total Households,2024 Female Household Population,2024 Female Household Population (%),2024 Financial Services,2024 Financial Services (Avg),2024 Household Aggregate Income (Current Year $),2024 Household Average Income (Current Year $),2024 Household Median Income (Current Year $),2024 Household Type - Total Households,2024 Household Discretionary Aggregate Income,2024 Household Disposable Aggregate Income,2024 Household Aggregate Income,2024 Labour Force - Labour Employment Rate,2024 Labour Force - Labour Participation Rate,2024 Labour Force - Labour Unemployment Rate,2024 Maintainers - 25 to 34,2024 Maintainers - 25 to 34 (%),2024 Maintainers - 35 to 44,2024 Maintainers - 35 to 44 (%),2024 Maintainers - 45 to 54,2024 Maintainers - 45 to 54 (%),2024 Maintainers - 55 to 64,2024 Maintainers - 55 to 64 (%),2024 Maintainers - Median Age,2024 Male Household Population,2024 Male Household Population (%),2024 Pop 15+: Divorced,2024 Pop 15+: Divorced (%),2024 Pop 15+: Living Common Law,2024 Pop 15+: Living Common Law (%),2024 Pop 15+: Married (And Not Separated),2024 Pop 15+: Married (And Not Separated) (%),2024 Pop 15+: Married or Living Common-Law,2024 Pop 15+: Married or Living Common-Law (%),2024 Pop 15+: Not Married or Common-Law,2024 Pop 15+: Not Married or Common-Law (%),2024 Pop 15+: Separated,2024 Pop 15+: Separated (%),2024 Pop 15+: Single (Never Legally Married),2024 Pop 15+: Single (Never Legally Married) (%),2024 Pop 15+: Widowed,2024 Pop 15+: Widowed (%),2024 Property Taxes (Shelter),2024 Property Taxes (Shelter) (Avg),2024 Regular Mortgage Payments (Shelter),2024 Regular Mortgage Payments (Shelter) (Avg),"2024 Structure Type Apartment, Building Five or More Story","2024 Structure Type Apartment, Building Five or More Story (%)","2024 Structure Type Apartment, Building Fewer Than Five Story","2024 Structure Type Apartment, Building Fewer Than Five Story (%)",2024 Structure Type Movable Dwelling,2024 Structure Type Movable Dwelling (%),2024 Structure Type Other Single-Attached House,2024 Structure Type Other Single-Attached House (%),2024 Structure Type Row House,2024 Structure Type Row House (%),2024 Structure Type Semi-Detached House,2024 Structure Type Semi-Detached House (%),2024 Structure Type Single-Detached House,2024 Structure Type Single-Detached House (%),"2024 Service Charges for Banks, Other Financial Institutions","2024 Service Charges for Banks, Other Financial Institutions (Avg)",2024 Tenure: Band Housing,2024 Tenure: Band Housing (%),2024 Tenure: Owned,2024 Tenure: Owned (%),2024 Tenure: Rented,2024 Tenure: Rented (%),2024 Tenure: Total Households,2024 Total Population,2024 Visible Minority Arab,2024 Visible Minority Arab (%),2024 Visible Minority Black,2024 Visible Minority Black (%),2024 Visible Minority Chinese,2024 Visible Minority Chinese (%),2024 Visible Minority Filipino,2024 Visible Minority Filipino (%),2024 Visible Minority Japanese,2024 Visible Minority Japanese (%),2024 Visible Minority Korean,2024 Visible Minority Korean (%),2024 Visible Minority Latin American,2024 Visible Minority Latin American (%),2024 Visible Minority South Asian,2024 Visible Minority South Asian (%),2024 Visible Minority Southeast Asian,2024 Visible Minority Southeast Asian (%),2024 Visible Minority Total Population,2024 Visible Minority Total Population (%),2024 Visible Minority West Asian,2024 Visible Minority West Asian (%),2024-2025 Current$ Household Average Income % Change,2024-2025 Total Population % Change,2025-2026 Current$ Household Average Income % Change,2025-2026 Total Population % Change,2026-2027 Current$ Household Average Income % Change,2026-2027 Total Population % Change,FREQUENCY,SUM_FUNDED,CONVERSION_RATE,Shape__Area,Shape__Length
43,A0N,63,0.95,1222,18.47,2459,37.17,1211,18.31,766,11.58,243,3.67,268,4.05,248,3.75,198,2.99,-0.4,3.4,-0.9,0.4,-1.5,158609.36,23.76,30,0.45,6646,99.55,6676,6894,49.78,2410610.13,361.09,439204576.48,439324712.62,65807.11,272346089.04,362653800.27,49887.07,6676,78.2,40.9,21.8,516,7.73,558,8.36,878,13.15,1535,22.99,63.7,6956,50.22,638,5.08,1287,10.24,6327,50.35,7614,60.6,4952,39.41,287,2.28,2803,22.31,1223,9.73,3833525.65,574.22,12001758.51,1797.75,944605.87,141.49,104,1.56,19,0.28,70,1.05,12,0.18,63,0.94,81,1.21,6262,93.8,0,0,5621,84.2,1055,15.8,6676,14067,1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,21,0.15,0,0,22,0.16,0,0,1.3,-1.1,2.4,-1.4,2.8,-1,8,0,0,29045867084,2692180.21461355
1141,A0P,160,3.43,533,11.44,952,20.42,634,13.6,912,19.57,471,10.11,471,10.11,379,8.13,309,6.63,-0.1,3.6,0.5,0.5,-0.6,125105.02,26.85,58,1.24,4229,90.75,4660,6895,50.24,2278821.1,489.02,528815483.45,528800503.34,113480.17,301005212.48,403251869.41,100739.92,4660,87.8,63.2,12.2,682,14.64,917,19.68,903,19.38,935,20.06,51.1,6828,49.76,438,4.04,2009,18.52,4214,38.84,6223,57.36,4626,42.64,230,2.12,3441,31.72,517,4.77,3886071.56,833.92,16866242.1,3619.37,1081305.27,232.04,148,3.18,0,0,20,0.43,14,0.3,402,8.63,566,12.15,3336,71.59,373,8,2837,60.88,1450,31.12,4660,14155,19,0.14,61,0.44,26,0.19,385,2.81,0,0,27,0.2,0,0,176,1.28,13,0.09,718,5.23,0,0,1.6,-0.1,2.7,-0.2,3.1,0.1,39,0,0,515014486974,29494590.2308112
757,A0R,0,0,1,0.34,222,75,10,3.38,23,7.77,0,0,18,6.08,21,7.09,0,0,1.6,3.4,2,0.6,0.8,1472.77,5.45,8,2.96,262,97.04,270,405,48.04,220912.12,818.19,47129525.89,47816003.84,177107,25810818.2,34295040.23,172688.96,270,91.6,77.2,8.4,41,15.19,87,32.22,89,32.96,32,11.85,45.6,437,51.84,23,3.5,97,14.76,374,56.93,472,71.84,185,28.16,15,2.28,140,21.31,7,1.07,102423.38,379.35,443623.42,1643.05,91555.77,339.1,40,14.81,0,0,7,2.59,0,0,7,2.59,12,4.44,204,75.56,0,0,50,18.52,220,81.48,270,843,0,0,0,0,0,0,5,0.59,0,0,0,0,0,0,0,0,0,0,5,0.59,0,0,1.8,0.6,3.1,0.6,3.6,0.1,9,0,0,236385363916,5119590.74666968
1615,A1A,2807,21.7,1610,12.45,4288,33.15,1970,15.23,1558,12.04,1120,8.66,1209,9.35,871,6.73,310,2.4,2.2,3.8,2.2,0.7,1.1,2809257.34,203.54,976,7.07,12826,92.93,13802,16214,51.31,10632531.5,770.36,1953648259.89,1952646750.17,141474.76,1057683638.93,1419420709.15,102671.18,13802,91.5,60.7,8.5,1799,13.03,2338,16.94,2456,17.79,2493,18.06,54.7,15386,48.69,1402,5.11,2488,9.07,13041,47.55,15528,56.62,11898,43.38,593,2.16,7923,28.89,1981,7.22,23291947.4,1687.58,83847642.59,6075.04,3451898.96,250.1,1830,13.26,270,1.96,7,0.05,13,0.09,861,6.24,370,2.68,7460,54.05,0,0,9313,67.48,4489,32.52,13802,33089,569,1.8,652,2.06,519,1.64,514,1.63,2,0.01,38,0.12,227,0.72,1157,3.66,145,0.46,4132,13.08,172,0.54,1.5,0.6,2.8,0.6,3.2,0.4,122,10,8.19672131147541,100796670,76218.1329495489
820,A1B,3245,35.77,1971,21.73,2838,31.28,645,7.11,824,9.08,530,5.84,783,8.63,997,10.99,485,5.35,2.4,4.2,2.3,0.9,1.2,1910729.95,194.18,715,7.27,9125,92.73,9840,11004,48.95,5017588.24,509.92,1061206748.59,1063039996.63,108031.05,569892976.02,789575462.38,76885.69,9840,88.8,63.1,11.2,2397,24.36,1647,16.74,1157,11.76,1411,14.34,42.7,11474,51.05,857,4.38,2496,12.75,6830,34.89,9326,47.64,10251,52.36,384,1.96,8073,41.24,937,4.79,9791091.6,995.03,45179160.42,4591.38,1995505.92,202.8,1303,13.24,86,0.87,5,0.05,19,0.19,883,8.97,687,6.98,3284,33.37,0,0,4839,49.18,5001,50.82,9840,22832,746,3.32,1546,6.88,400,1.78,207,0.92,53,0.24,38,0.17,182,0.81,1569,6.98,62,0.28,5152,22.92,268,1.19,1.9,0.6,3.1,0.7,3.5,0.4,105,6,5.71428571428571,127675782,79081.4570566693
511,A1C,790,11.76,4087,60.86,1287,19.17,344,5.12,307,4.57,203,3.02,142,2.11,207,3.08,137,2.04,1,4.2,0.9,1,-0.1,1008195.1,143.72,546,7.78,6469,92.22,7015,6577,48.89,2941710.92,419.35,638422685.55,640416620.03,91293.48,348670034.79,481855430.27,66692.83,7015,89.9,61.6,10.1,1636,23.32,1246,17.76,894,12.74,1246,17.76,46,6875,51.11,767,6.23,1887,15.33,3171,25.76,5058,41.09,7251,58.91,304,2.47,5566,45.22,613,4.98,5392013.84,768.64,22997548.55,3278.34,1281277.14,182.65,1952,27.83,5,0.07,1,0.01,56,0.8,1915,27.3,678,9.67,1589,22.65,0,0,3263,46.51,3752,53.49,7015,13982,100,0.74,298,2.22,220,1.64,0,0,0,0,0,0,125,0.93,422,3.14,35,0.26,1349,10.03,77,0.57,1.9,0.2,3,0.1,3.6,0.1,52,3,5.76923076923077,8959704,21576.6758928797
1395,A1E,3958,31.48,2660,21.15,4563,36.29,2224,17.69,1499,11.92,573,4.56,336,2.67,435,3.46,284,2.26,0.9,3.8,1,0.7,0,2588078.15,198.95,967,7.43,12042,92.57,13009,14326,52.18,6465907.73,497.03,1309669264.64,1310252739.54,100716.68,725636563.9,989204477.08,78084.69,13009,90.6,56.7,9.4,2024,15.56,2074,15.94,1834,14.1,2480,19.06,55.4,13129,47.82,1586,6.49,2549,10.44,9703,39.73,12252,50.17,12170,49.83,639,2.62,8167,33.44,1778,7.28,13559310.39,1042.3,50793989.73,3904.53,2549085.09,195.95,1723,13.24,196,1.51,0,0,40,0.31,1468,11.28,879,6.76,4615,35.48,0,0,7392,56.82,5617,43.18,13009,28008,322,1.17,417,1.52,236,0.86,353,1.29,0,0,60,0.22,66,0.24,447,1.63,124,0.45,2178,7.93,90,0.33,1.7,0.4,2.8,0.4,3.4,0.3,100,10,10,27625754,38388.1689732199
360,A1G,874,34.1,181,7.06,893,34.84,376,14.67,312,12.17,150,5.85,249,9.72,282,11,119,4.64,1.7,3.7,1.9,0.7,0.7,599628.37,221.27,80,2.95,2630,97.05,2710,3135,50.75,1505128.09,555.4,304177691.13,305848924.92,112855.46,169440106.84,231031298.24,88909.89,2710,90,63.2,10,437,16.13,475,17.53,510,18.82,536,19.78,52.5,3041,49.23,328,6.1,637,11.84,2377,44.18,3014,56.02,2366,43.98,137,2.55,1575,29.28,325,6.04,3643767.73,1344.56,15070061.94,5560.91,577853.14,213.23,154,5.68,0,0,3,0.11,4,0.15,164,6.05,157,5.79,1304,48.12,0,0,1916,70.7,794,29.3,2710,6298,0,0,64,1.04,0,0,0,0,0,0,0,0,0,0,57,0.92,0,0,160,2.59,40,0.65,1.7,0.5,3,0.4,3.4,0.3,15,1,6.66666666666667,27625754,31056.1689732199
460,A1H,649,26.48,30,1.22,69,2.82,38,1.55,174,7.1,338,13.79,685,27.95,691,28.19,426,17.38,3.8,3.5,3.6,0.3,2.5,324541.5,117.59,144,5.22,2616,94.78,2760,3793,51.39,2071151.66,750.42,480374912.45,474689804.9,171988.4,246268034.1,340116129.12,145967.09,2760,94.3,71.1,5.7,458,16.59,655,23.73,695,25.18,443,16.05,47.9,3587,48.6,257,4.27,617,10.26,3314,55.1,3931,65.36,2083,34.64,128,2.13,1445,24.03,253,4.21,5393349.88,1954.11,29592483.33,10721.91,760471.75,275.53,11,0.4,0,0,20,0.72,0,0,50,1.81,380,13.77,1567,56.78,0,0,2243,81.27,517,18.73,2760,7382,8,0.11,57,0.77,85,1.15,0,0,0,0,0,0,0,0,63,0.85,0,0,213,2.89,0,0,1.7,1.1,2.9,1.1,3.3,1,29,1,3.44827586206897,353161666,114823.995827484
551,A1K,614,11.18,513,9.34,1098,19.99,792,14.42,849,15.45,560,10.19,615,11.19,668,12.16,399,7.26,1.5,3.5,1.5,0.4,0.5,389912.25,66.96,38,0.65,5785,99.35,5823,7617,49.84,4154501.67,713.46,873502871.99,873472678.42,150008.45,466474747.86,635326819.32,118088.89,5823,92,65.9,8,667,11.45,1072,18.41,1289,22.14,1197,20.56,53,7666,50.16,514,3.99,1276,9.9,7110,55.15,8386,65.05,4506,34.95,225,1.75,3082,23.91,685,5.31,10396051.04,1785.34,47261356.43,8116.32,1538911.8,264.28,44,0.76,11,0.19,5,0.09,5,0.09,35,0.6,79,1.36,4992,85.73,0,0,4966,85.28,857,14.72,5823,15359,0,0,62,0.41,67,0.44,15,0.1,0,0,0,0,0,0,105,0.69,0,0,249,1.63,0,0,1.3,0.2,2.5,0.2,3,0.3,52,4,7.69230769230769,197113488,110153.689732199
